<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170320,112000,162.8000000,162.9100000,162.3000000,162.7000000,1045440
SBER,5,20170320,112500,162.7000000,162.9000000,162.6000000,162.8500000,408890
SBER,5,20170320,113000,162.8000000,163.0000000,162.5500000,162.8400000,255710
SBER,5,20170320,113500,162.8600000,163.3700000,162.8400000,163.1100000,854160
SBER,5,20170320,114000,163.1500000,163.2300000,162.9600000,163.0100000,332130
SBER,5,20170320,114500,162.9600000,163.4000000,162.9600000,163.3000000,644350
SBER,5,20170320,115000,163.3000000,164.0500000,163.2300000,163.8500000,1915700
SBER,5,20170320,115500,163.8500000,163.8500000,163.4000000,163.5500000,1077900
SBER,5,20170320,120000,163.5500000,163.5800000,162.9100000,163.0900000,584970
SBER,5,20170320,120500,163.0900000,163.7000000,163.0800000,163.2900000,307630
SBER,5,20170320,121000,163.2900000,163.5000000,163.2200000,163.4000000,123430
SBER,5,20170320,121500,163.4000000,163.4800000,163.2000000,163.2000000,294210
SBER,5,20170320,122000,163.2800000,163.2900000,163.0100000,163.0100000,617020
SBER,5,20170320,122500,163.0100000,163.1100000,162.8000000,162.8700000,920100
SBER,5,20170320,123000,162.8100000,162.9500000,162.7000000,162.7400000,526210
SBER,5,20170320,123500,162.7400000,162.9900000,162.5000000,162.5600000,520460
SBER,5,20170320,124000,162.5500000,163.1900000,162.5500000,163.1600000,354410
SBER,5,20170320,124500,163.1600000,163.1900000,162.8900000,162.9100000,154440
SBER,5,20170320,125000,162.9200000,162.9700000,162.8000000,162.9200000,65690
SBER,5,20170320,125500,162.9100000,162.9900000,162.5200000,162.6000000,197690
SBER,5,20170320,130000,162.5800000,162.9100000,162.5500000,162.6500000,107530
SBER,5,20170320,130500,162.6500000,162.6500000,161.7700000,162.1200000,950740
SBER,5,20170320,131000,162.0700000,162.5800000,162.0100000,162.4900000,213160
SBER,5,20170320,131500,162.4100000,162.8000000,162.3300000,162.6500000,207780
SBER,5,20170320,132000,162.6600000,163.0900000,162.5900000,162.8500000,458950
SBER,5,20170320,132500,162.8500000,162.9000000,162.6300000,162.6900000,209190
SBER,5,20170320,133000,162.6900000,162.7600000,162.5300000,162.7000000,233140
SBER,5,20170320,133500,162.7500000,162.7700000,162.4400000,162.5200000,102770
SBER,5,20170320,134000,162.5700000,162.5800000,162.3000000,162.3500000,105800
SBER,5,20170320,134500,162.3900000,162.3900000,162.0100000,162.0300000,242340
SBER,5,20170320,135000,162.0900000,162.1300000,161.8200000,162.1100000,224650
SBER,5,20170320,135500,162.1200000,162.1400000,162.0000000,162.1200000,98860
SBER,5,20170320,140000,162.1100000,162.1500000,162.0300000,162.0500000,88760
SBER,5,20170320,140500,162.0500000,162.1500000,162.0000000,162.0400000,69020
SBER,5,20170320,141000,162.0100000,162.1900000,161.9600000,162.1800000,141770
SBER,5,20170320,141500,162.1800000,162.1800000,162.1000000,162.1800000,34600
SBER,5,20170320,142000,162.1800000,162.6400000,162.1600000,162.5600000,310830
SBER,5,20170320,142500,162.5600000,162.6900000,162.4600000,162.5700000,119390
SBER,5,20170320,143000,162.6000000,162.6500000,162.3400000,162.3500000,77790
SBER,5,20170320,143500,162.4000000,162.4900000,162.1900000,162.4800000,130940
SBER,5,20170320,144000,162.4800000,162.8500000,162.3800000,162.7600000,80440
